N	Kp	Kt	T	Spdup	Effic	EDSF	Devi

128M	seq	seq	223352				2%
128M	1	1	220199	1.014	1.014		4%
128M	1	2	110768	2.016	1.008	0.006	3%
128M	1	3	74518	2.997	0.999	0.008	8%
128M	1	4	58180	3.839	0.960	0.019	7%
128M	2	1	110364	2.024	1.012	0.002	4%
128M	2	2	55906	3.995	0.999	0.005	4%
128M	2	3	37536	5.950	0.992	0.005	9%
128M	2	4	28219	7.915	0.989	0.004	9%
128M	3	1	73706	3.030	1.010	0.002	2%
128M	3	2	37764	5.914	0.986	0.006	6%
128M	3	3	24973	8.944	0.994	0.003	10%
128M	3	4	19761	11.303	0.942	0.007	7%
128M	4	1	55289	4.040	1.010	0.001	4%
128M	4	2	28255	7.905	0.988	0.004	9%
128M	4	3	19782	11.291	0.941	0.007	9%
128M	4	4	14653	15.243	0.953	0.004	6%
128M	5	1	45193	4.942	0.988	0.007	2%
128M	5	2	22652	9.860	0.986	0.003	7%
128M	5	3	15742	14.188	0.946	0.005	4%
128M	5	4	11929	18.723	0.936	0.004	6%
128M	6	1	37277	5.992	0.999	0.003	4%
128M	6	2	19136	11.672	0.973	0.004	6%
128M	6	3	13204	16.915	0.940	0.005	4%
128M	6	4	10027	22.275	0.928	0.004	4%
128M	7	1	32421	6.889	0.984	0.005	2%
128M	7	2	16286	13.714	0.980	0.003	5%
128M	7	3	11361	19.660	0.936	0.004	4%
128M	7	4	8611	25.938	0.926	0.004	4%
128M	8	1	28620	7.804	0.976	0.006	1%
128M	8	2	14123	15.815	0.988	0.002	9%
128M	8	3	10163	21.977	0.916	0.005	6%
128M	8	4	7751	28.816	0.900	0.004	2%
128M	9	1	25589	8.728	0.970	0.006	1%
128M	9	2	12586	17.746	0.986	0.002	5%
128M	9	3	9024	24.751	0.917	0.004	12%
128M	9	4	6948	32.146	0.893	0.004	5%
128M	10	1	23036	9.696	0.970	0.005	1%
128M	10	2	11306	19.755	0.988	0.001	6%
128M	10	3	8206	27.218	0.907	0.004	5%
128M	10	4	5992	37.275	0.932	0.002	6%
