N	K	T	Spdup	Effic	EDSF	Devi

1M	seq	5718				3%
1M	1	5798	0.986	0.986		2%
1M	2	2971	1.925	0.962	0.025	2%
1M	3	2056	2.781	0.927	0.032	5%
1M	4	1579	3.621	0.905	0.030	2%
1M	5	1302	4.392	0.878	0.031	1%
1M	6	1091	5.241	0.874	0.026	5%
1M	7	973	5.877	0.840	0.029	14%
1M	8	867	6.595	0.824	0.028	18%

2M	seq	11169				4%
2M	1	11334	0.985	0.985		1%
2M	2	5753	1.941	0.971	0.015	2%
2M	3	3921	2.849	0.950	0.019	4%
2M	4	3006	3.716	0.929	0.020	2%
2M	5	2393	4.667	0.933	0.014	4%
2M	6	2059	5.424	0.904	0.018	33%
2M	7	1776	6.289	0.898	0.016	3%
2M	8	1611	6.933	0.867	0.020	10%

4M	seq	22138				2%
4M	1	22216	0.996	0.996		2%
4M	2	11220	1.973	0.987	0.010	2%
4M	3	7604	2.911	0.970	0.013	4%
4M	4	5780	3.830	0.958	0.014	18%
4M	5	4704	4.706	0.941	0.015	1%
4M	6	3930	5.633	0.939	0.012	1%
4M	7	3405	6.502	0.929	0.012	8%
4M	8	3023	7.323	0.915	0.013	3%

8M	seq	43995				3%
8M	1	44170	0.996	0.996		1%
8M	2	22430	1.961	0.981	0.016	2%
8M	3	15190	2.896	0.965	0.016	5%
8M	4	11325	3.885	0.971	0.009	3%
8M	5	9281	4.740	0.948	0.013	2%
8M	6	7730	5.691	0.949	0.010	3%
8M	7	6675	6.591	0.942	0.010	1%
8M	8	5961	7.380	0.923	0.011	11%

16M	seq	88101				2%
16M	1	87694	1.005	1.005		1%
16M	2	44196	1.993	0.997	0.008	2%
16M	3	29859	2.951	0.984	0.011	3%
16M	4	22551	3.907	0.977	0.010	13%
16M	5	18063	4.877	0.975	0.007	8%
16M	6	15179	5.804	0.967	0.008	22%
16M	7	13180	6.684	0.955	0.009	5%
16M	8	11716	7.520	0.940	0.010	11%

32M	seq	175108				4%
32M	1	175452	0.998	0.998		2%
32M	2	88185	1.986	0.993	0.005	2%
32M	3	60031	2.917	0.972	0.013	3%
32M	4	44941	3.896	0.974	0.008	18%
32M	5	36443	4.805	0.961	0.010	1%
32M	6	30270	5.785	0.964	0.007	3%
32M	7	26076	6.715	0.959	0.007	3%
32M	8	23287	7.520	0.940	0.009	3%

64M	seq	351583				3%
64M	1	348706	1.008	1.008		1%
64M	2	176925	1.987	0.994	0.015	11%
64M	3	119701	2.937	0.979	0.015	3%
64M	4	89095	3.946	0.987	0.007	11%
64M	5	71888	4.891	0.978	0.008	3%
64M	6	61077	5.756	0.959	0.010	1%
64M	7	51485	6.829	0.976	0.006	3%
64M	8	46279	7.597	0.950	0.009	11%

128M	seq	705776				1%
128M	1	696826	1.013	1.013		2%
128M	2	351242	2.009	1.005	0.008	2%
128M	3	237912	2.967	0.989	0.012	2%
128M	4	178166	3.961	0.990	0.008	3%
128M	5	144231	4.893	0.979	0.009	3%
128M	6	120829	5.841	0.974	0.008	1%
128M	7	103471	6.821	0.974	0.007	10%
128M	8	92259	7.650	0.956	0.008	12%
